id,title
12,Spotify での Scio を使ったデータ処理。2年前、Spotify はデータパイプラインを開発し Google Dataflow へとデプロイするために、オープンソースの Scala フレームワーク Scio を導入しました。本セッションでは、Scio の進化について議論し、2年間の Scio のプロダクションでの運用の要点を共有します。また、Spotify で運用されている興味深いデータ処理ワークフローをいくつかと、これを実運用することで得られた知見、そしてどのようにこの知見を活用して Scio をより速く、より安全に、かつより使いやすくしたのかをご紹介します。
13,Scala Driven Management。関数型、型安全、型推論、Java資産活用など、Scalaのプログラミング言語としての性質は、しばしば開発プロセスそのものに様々な影響を与えます。その結果、各エンジニアが業務での開発にどう向き合うか、育成していくか、といったエンジニアリングマネジメントのプロセスにも影響があることがあるでしょう。業務での実例を交えながら、Scalaを開発言語として選択することがエンジニアリングマネージメントにどのように影響するかを説明します。
14,"プロジェクトで引き回す型をEffにするメリット。scalaでプロジェクトを始める時、設計を考える人は早い段階でインターフェースの型で迷うことになると思います。Future[A]にするのか、Future[Either[E, A]]にするのか、Futureを利用せずTaskを利用するのか。私が試したそれぞれのメリットデメリットと、1番良い形を実現できる(と思っている)Effの紹介をします。"
15,"ハイパフォーマンスScala。ScalaはJVM上で実行されるため、パフォーマンスが良い言語と言われています。しかし（どの言語でもそうであるように）実際に開発した際にパフォーマンスに悩まされる方も多々いるのではないでしょうか？

Full GCを発生させない
DBアクセス等のブロッキング処理
Scala言語特有の書き方
etc
上記のようにScalaでハイパフォーマンスなアプリケーションを開発するためには様々な事について、考慮しなければなりません。本発表ではパフォーマンス計測のためのプロファイリング方法から始まり、ボトルネックを解消するScalaの書き方、ノンブロッキング処理手法、並行処理手法について発表します。"
16,"Scala ♥ Graal。#TwitterVMTeam では、Scala アプリケーションの性能向上のために Java 仮想マシン (JVM) の最適化に投資しています。私たちは JIT コンパイラーとして Graal へ移行して、有意な性能向上を観測しました。この移行によって JVM のコードベースが Java となり、扱いやすくなったため、更なる最適化を実装する道のりが開きました。

このトークでは、私たちの Scala アプリケーション内のパフォーマンスの課題、及びそれをどう #TwitterVMTeam が乗り越えてきたのかを解説します。より効率の高い Future 実行の最適化や、invokeinterface 呼び出し時のオーバーヘッド対策などについてカバーします。"
17,継続とDI。情報システムが解決しようとする問題はますます複雑化しています。複雑な問題に解決するには、問題を分割し解を合成する分割統治のアプローチが必要です。このセッションでは、再利用可能なモジュールを合成する手法として「継続渡しスタイル」と「DI」という二つのアプローチについて解説し、それらを比較しながら分割統治のためのツールを考察します。
18,Scala and SRE
19,"ハウツー・テストproper{t,l}y。ユニットテストはすっかり定着したプラクティスで、それに加えてプロパティベースのテストの人気もそれに追いつきつつあります。ほとんどの関数型言語で一つ、時には多くの実装がなされています。しかし、「プロパティベース・テスト」には多くの側面があります。幾つか挙げれば、テストケースのランダム性、網羅性、最小化と普遍化、カスタムジェネレーター、フィルターなどです。非常に多くの場合、プロパティベースのテストはそのフレームワークのすべての機能を利用していません。このセッションでは、関数型言語でのプロパティベースのテストの最新状況と、よくあるユースケース、テクニック、落とし穴を話します。"
20,サイバーエージェントにおけるプライベートコンテナ基盤AKEを支える技術
21,マイクロサービスアプリケーションとしての機械学習
22,"""Yahoo! JAPANのKubernetes-as-a-Service""で加速するアプリケーション開発"
23,Kubernetes x PaaS - コンテナアプリケーションのNoOpsへの挑戦
24,2018年のDocker・Moby
25,今こそKubernetes。最高の仕事道具で使いこなそう
26,Kubernetesのない世界 すべてがサーバーレスになる
27,『コンテナ疲れ』と戦う、k8s・PaaS・Serverlessの活用法！
28,CNCF: Evolving the Container Landscape
29,"サーバレスで動かすトークン発行プラットフォーム。Ethereum上で独自のトークンを発行するプラットフォームをサーバレスアーキテクチャにより構築します。
UIをFlutter/Vue.js/Slackアプリで作成し、バックエンドをAppSync/Lambda/DynamoDB/Cognitoを使用して構築していきます。
Ethereumのトークン企画はERC1155を使用し、Metamaskを使用したアドレス発行と組み合わせてトークンの管理を行います。"
30,"AWS Serverlessを活用したサービス監視。Serverlessの活用ポイントのうち、以下は非常に大きなアドバンテージです

常時データを送信しても良いエンドポイントの提供
サーバーに常時起動せずとも実行できるランタイム環境の提供
上記のアドバンテージはサービス監視するためのメリットに溢れています
今回は特に中小企業の受託開発に向けた以下のOSS活動に関してご紹介します"
31,"SaaSを海外展開するために役立つインフラTips。Instoll株式会社では複数のSaaSをリリース初日から海外展開しています。
海外の現地法人を持たないスタートアップがどのように法務・税務を捉え、24時間稼働し続けるインフラをAWSで構築したのか。
すべてお伝えします。"
32,"AWS All Stars。コミュニティイベントで多く行われる「ライトニングトーク(LT)」。
アマゾン ウェブ サービス ジャパンのテクニカルスペシャリスト 14人(!?)による怒涛のライトニングトークを行います。
AWSのソリューションアーキテクト/クラウドサポートエンジニアの3分間・3スライドのLTを時間いっぱいご堪能ください。
(本当に最終登壇者までいくのか！？)"
33,http4sとcats-effectで可愛らしい、関数型らしいアプリケーションを書こう！٩(๑^o^๑)۶ Scalaのコード、可愛く書きたくないですか？ tagless final、cats effectを使って可読性の高い関数型らしいコードの書き方について発表します！٩(๑^o^๑)۶
34,アニメーションで理解するAkka StreamsとAkka HTTP。知らない技術を理解するときに図解やアニメーションで理解するのは好きですか？私は大好きです。 このセッションはAkka StreamsおよびAkka HTTPに関して、 アニメーションで理解の手助けをしようというものです。 Akka StreamsやAkka HTTPに関しては、私が見る限りの本番環境での導入がだいぶ広がってきているという印象があります。 昨年のScala関西 Summitを含む各カンファレンスでの発表などをみても、そう感じているところです。 ただ、どちらも内部動作がわかりにくいライブラリだと思います。興味がある、あるいは普段使ってはいるものの、 Akka自体を勉強する時間があまりとれないため、なんとなくコードは書けるが「何が起こっているかわからない」 「何に注意すべきかわからない」という人もいるのではないでしょうか？ このセッションでは、アニメーションによって内部動作の理解のきっかけを掴むことで、実際のコードを探るときの助けになる、 ドキュメントを読んでより頭に入ってきやすくなる、ということを目指しています。
35,"Format things with scalafmt。コードフォーマッタの導入はコーディング規約の強制や大規模な自動リファクタリングなどソフトウェア開発に非常に多くの恩恵をもたらします。 scala以外の言語でもgofmtやprettierなど様々なコードフォーマッタが開発されており、多くのソフトウェア開発者に日々活用されています。

scalaのコードフォーマッタも活発に開発されています。 scalaのコードフォーマッタの一つであるscalafmtは多くのscalaプロジェクトで採用されているツールです。

この発表ではscalafmtの紹介、またscalafmtの数多くある設定項目のうち一部を紹介しscalafmtの高機能さを享受するための方法についてお話しようと思います。"
36,Scala-erにも影響ありそうなJavaの現状まとめ。Javaのリリースサイクルやサポートが変更され、またJVMへの変更も多く予定されています。 このセッションでは、Scalaを利用する際にも影響がありそうなJavaの現状をまとめてお話したいと思います。
37,Akkaを分散トレーシングで見てみよう。マイクロサービス化されたアプリケーションでは、パフォーマンス測定の一つとして分散トレーシングが挙げられます。 Akka HTTPをAPIサーバの一つとして構築した際に、他のサービスとのやり取りを含め全体のパフォーマンスを可視化するには、分散トレーシングの仕組みに載せる必要が出てきます。 そこで、数ある分散トレーシングの実装の中から、MetricsとTracingの実装の一つであるOpenCensusと、 OpenCensusが利用できる分散トレーシングのバックエンドの一つであるJaegerを用いて、 Akka HTTPのAPIサーバでの分散トレーシングの可視化を紹介します。
38,DatabricksとSparkではじめる [データ分析/機械学習] 実践入門。DELISH KITCHENという料理動画メディアでは、SparkホスティングサービスであるDatabricksを利用してデータ分析や機械学習を行っています。 個人的にSparkを利用した機械学習は敷居が高い印象があったのですが、Databricksを導入して非常に簡単に実現できたことから、 実際のアプリケーションで行われている内容を踏まえてサンプルコードで実例を示しながらご紹介をさせていただければと思います。
39,"Json codec を楽しもう、現場で役立つ circe。Webアプリケーションなんかを開発していると、 例として Http Request/Response を処理するのに大抵は Json を扱いますよね。

わたしは Scala を触り始めてから長らく play-json と歩みを共にしてきたのですが、 最近(今更)、 circe を触ってみて大変便利でしたので実コードと解説を交えながら紹介していこうかと思います。"
40,実践GraphQL on Scala。Facebookが提唱してGithubが採用するなど、世界的にも日本的にも流行の兆しが見えるGraphQL。 そのGraphQLをAPIサーバの設計にGraphQLを採用し、実装にはSangriaを用いてすでに本番環境で稼働しています。 このセッションでは、そもそもなぜGraphQLを採用したのか、どういったプロダクトの開発に採用したのかといった背景に加えて、 GraphQLなAPIサーバをどう設計し、どのように開発していくのかについて紹介します。
